OBJ_Critical= 0.515224366351411 0.4996
fOBJ	LF0	r0	fRa	fINP	VP	KP1	fKM	PAR2	Qmax	Kba	Kdes	rE	pEP	fpEM	fD	gD	Vg	alpha	KD	Yg	Ygsl	Q10	gamma	beta	WPA2D	tau	wdorm	VNup_MB	KsNH4_MB	KsNO3_MB	VNif	VNit	VDenit1	fpENZN	KsNif	KsNit	KsDenit1	KsDenit2	VNup_VG	KsNH4_VG	KsNO3_VG	rNleach	bNup_VG	Qmax_NH4	Kba_NH4	Kp2u	Ku2p
0.5	0.9	0.1	0.1838	0.35	80	65.4	9.1	500	3.5	8.61	0.003304	0.00018747	0.0015	2	0.15	0.1	0.00206709	0.2	0.00246229	0.45	0.01584916	2	4.5	0.001	0.59865322	0.39	1	0.0004757	0.001	0.001	0.01290281	0.12348246	0.02109957	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.00962123	0.05	0.5	1e-04	100	5e-06	0.001
0.5	0.9	0.1	0.1838	0.35	80	65.4	9.1	500	3.5	8.61	0.003304	0.00018641	0.0015	2	0.15	0.1	0.00206932	0.2	0.00238657	0.45	0.01564171	2	4.5	0.001	0.59884386	0.39	1	0.0004757	0.001	0.001	0.01290281	0.12348246	0.02109957	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.00962123	0.05	0.5	1e-04	100	5e-06	0.001
0.5	0.9	0.1	0.1838	0.35	80	65.4	9.1	500	3.5	8.61	0.003304	0.00018726	0.0015	2	0.15	0.1	0.00207687	0.2	0.00245571	0.45	0.01582631	2	4.5	0.001	0.59855172	0.39	1	0.0004757	0.001	0.001	0.01290281	0.12348246	0.02109957	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.00962123	0.05	0.5	1e-04	100	5e-06	0.001
0.5	0.9	0.1	0.1838	0.35	80	65.4	9.1	500	3.5	8.61	0.003304	0.0001886	0.0015	2	0.15	0.1	0.00205767	0.2	0.00238486	0.45	0.01588358	2	4.5	0.001	0.59884386	0.39	1	0.0004757	0.001	0.001	0.01290281	0.12348246	0.02109957	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.00962123	0.05	0.5	1e-04	100	5e-06	0.001
0.5	0.9	0.1	0.1838	0.35	80	65.4	9.1	500	3.5	8.61	0.003304	0.00018709	0.0015	2	0.15	0.1	0.00209328	0.2	0.0024486	0.45	0.01589717	2	4.5	0.001	0.59793127	0.39	1	0.0004757	0.001	0.001	0.01290281	0.12348246	0.02109957	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.00962123	0.05	0.5	1e-04	100	5e-06	0.001
0.5	0.9	0.1	0.1838	0.35	80	65.4	9.1	500	3.5	8.61	0.003304	0.00018701	0.0015	2	0.15	0.1	0.00208675	0.2	0.00241857	0.45	0.01578527	2	4.5	0.001	0.59870974	0.39	1	0.0004757	0.001	0.001	0.01290281	0.12348246	0.02109957	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.00962123	0.05	0.5	1e-04	100	5e-06	0.001
0.5	0.9	0.1	0.1838	0.35	80	65.4	9.1	500	3.5	8.61	0.003304	0.00018786	0.0015	2	0.15	0.1	0.00205319	0.2	0.00233492	0.45	0.01587686	2	4.5	0.001	0.5988235	0.39	1	0.0004757	0.001	0.001	0.01290281	0.12348246	0.02109957	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.00962123	0.05	0.5	1e-04	100	5e-06	0.001
0.5	0.9	0.1	0.1838	0.35	80	65.4	9.1	500	3.5	8.61	0.003304	0.0001874	0.0015	2	0.15	0.1	0.00207396	0.2	0.00236381	0.45	0.01588358	2	4.5	0.001	0.59831588	0.39	1	0.0004757	0.001	0.001	0.01290281	0.12348246	0.02109957	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.00962123	0.05	0.5	1e-04	100	5e-06	0.001
0.5	0.9	0.1	0.1838	0.35	80	65.4	9.1	500	3.5	8.61	0.003304	0.0001886	0.0015	2	0.15	0.1	0.00205351	0.2	0.00238486	0.45	0.01580262	2	4.5	0.001	0.59884386	0.39	1	0.0004757	0.001	0.001	0.01290281	0.12348246	0.02109957	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.00962123	0.05	0.5	1e-04	100	5e-06	0.001
0.5	0.9	0.1	0.1838	0.35	80	65.4	9.1	500	3.5	8.61	0.003304	0.00018641	0.0015	2	0.15	0.1	0.00207152	0.2	0.00238657	0.45	0.01555187	2	4.5	0.001	0.59884386	0.39	1	0.0004757	0.001	0.001	0.01290281	0.12348246	0.02109957	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.00962123	0.05	0.5	1e-04	100	5e-06	0.001
